Sample	Gene0	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9
Sample0	0.349354519524	0.523465496908	1.24251368966	222.186564418	106.005870473	-297.819917776	-93.4406300753	369.452340734	102.442357833	-198.596212925
Sample1	0.293034638025	1.44140286275	0.230828385996	218.896470699	-167.628471518	44.7615471766	-247.994937629	-64.4512499498	-55.4103160368	-12.5650075728
Sample2	-0.130387464331	-0.31078201388	0.377973886199	-76.1155315679	-205.319378232	331.837620689	-201.756503646	-181.767002459	165.098405634	203.516149745
Sample3	3.01541700766	1.96913034732	2.5944637066	135.351343474	-32.0510848317	-180.52166342	62.3192216743	-41.4988758623	-124.103357214	112.507533647
Sample4	0.912876381752	4.32700005596	4.79784374422	150.74498133	114.391223607	-209.554490408	41.4189448665	-19.0046351487	-228.653368612	-199.134590043
Sample5	3.87529623256	3.35200248158	2.85144052611	214.3274687	-213.066813969	-229.400071675	151.403845791	-153.455071643	-259.358312956	173.442607543
Sample6	5.01986969471	1.60423766566	4.18297264829	152.724347162	-211.088510798	367.519670836	-202.526289415	-88.1481543359	-198.969053501	-169.333898243
Sample7	4.55464139613	5.17543527671	4.03031803965	-48.1417211861	-37.4110654904	23.277951729	-59.6593938407	282.787075328	-73.8892831041	155.799383675
Sample8	5.88760649443	5.56630179841	4.47562174269	-66.9221867265	-114.482187192	-84.5666591037	-92.6342991631	-67.2595751182	102.672708358	-144.271607002
Sample9	6.08781117839	4.451251288	4.11074269329	-170.812839256	-72.3049016366	-132.85968566	23.4462101412	-138.400941366	418.71136042	26.3667246255
Sample10	4.28920098811	6.66153231239	3.24482142466	-134.185681667	-109.900815469	-120.878886674	-0.712532821147	-8.57654712587	-95.707147549	67.5679768448
Sample11	5.9201087298	6.85464868037	4.52740593962	159.922318263	-4.60700705135	20.010269471	-106.186391334	205.426909433	-7.40950272472	32.488127679
Sample12	7.19204884119	5.94407762892	4.19057185949	143.804131158	64.08534022	164.405286787	-290.012920179	-5.25241668107	-83.2451558893	-118.72477262
Sample13	8.34536929103	5.78875882179	4.50175755287	-28.4504080239	366.212672924	58.2391018382	-197.903000836	-208.100691039	-279.712601513	95.6296603811
Sample14	9.45887547092	6.22362573876	5.65838266906	-469.106917761	17.8663714826	-120.5233607	-89.8666541274	-22.6010626014	-248.136302181	-242.877578514
Sample15	9.19174203792	9.22232564948	4.91482008782	-154.57390015	250.157064228	-103.713334816	-123.689819419	-215.700343403	39.7726772829	-5.29161456834
Sample16	8.46938737042	8.34054510755	7.27971575541	23.820295257	45.4738297286	-450.626688134	433.639064946	-70.5259957383	-157.981666662	-41.7063067492
Sample17	7.56582190405	9.5822838755	7.67696463833	-63.4356792948	78.6085113445	141.570908647	86.0813876887	31.5364839463	106.742931778	85.6861284855
Sample18	9.07123038924	9.08185550582	8.53430163555	182.697340442	176.177935255	-318.211272977	-50.6732338956	315.08823034	89.172500614	24.219969863
Sample19	9.44220339668	11.7238560669	8.7744588968	-38.2704692238	-137.449542393	-12.2615817328	-80.8334158156	234.996550877	-119.56906129	259.846443904
Sample20	9.81749150409	9.98209830627	9.50414398569	-103.276405615	-180.503610458	-6.25877824802	178.812669695	255.342742638	67.3529563092	137.645237454
Sample21	10.059815426	10.5330251226	9.80277431629	-37.9141734203	147.294971733	-7.32786068744	-35.031612748	136.380545318	-241.850269264	85.3701722745
Sample22	11.1056705714	11.1731333958	9.85729785093	33.8362502032	-136.425200665	-70.2181188278	-51.7202464306	49.9509024958	-63.4919832595	-21.864609913
Sample23	11.7811646821	12.2084589706	10.6464297874	-206.703236198	-271.509946723	103.649200857	235.717834304	-81.980757605	9.92794920894	-194.479790126
Sample24	11.510501722	10.7880447161	9.68045313967	52.0722736814	-9.50477623718	-253.679767094	-201.051550383	427.362366997	-0.366317689573	198.815051442
Sample25	12.7441989845	13.6165348644	11.663936688	-195.297568439	152.057252144	213.432146784	-455.109543746	329.371973189	-61.0725086008	99.5244100898
Sample26	13.4197811583	10.4132931825	11.0228682668	227.14128274	34.0928795874	-12.5703889557	143.726291911	-19.7366788938	-154.722543998	-25.2821255856
Sample27	13.3200901363	12.0949012277	11.1531159617	-5.27497481933	231.780820361	134.950144595	128.616772964	-15.3371190142	95.546297631	23.1429401571
Sample28	13.0288577092	14.4809845431	9.93535801996	181.392541955	-13.6602160895	-32.3506580851	-458.353305078	187.228883896	53.3771557508	-30.6187448627
Sample29	15.1390376672	13.8359261658	13.9330558766	-7.98363757262	-71.3179289792	130.695353731	-198.019011764	-120.225941528	-310.805218247	240.318153967
Sample30	14.1222835974	16.23868444	11.6958954221	-194.730790486	-95.1152732919	192.002904322	-162.08046487	413.04036961	40.8503335364	-385.723660707
Sample31	16.8144294995	16.1721995162	13.9163448496	-14.7341590764	60.9646901141	-167.9393462	222.371295584	-117.163211423	-202.847368025	-72.6659478527
Sample32	15.8356269348	15.1475784179	14.9527219331	-81.0196595662	143.614321829	454.086012887	108.210195788	-293.360821295	-110.584651956	-144.229777942
Sample33	18.5170156929	19.085403187	17.1675184714	-3.38435593214	-283.082467272	167.986364166	7.21863767644	-84.2061139293	106.824307179	107.425696265
Sample34	18.4831234088	17.7946100907	13.2706167854	-19.2754248588	27.0654635728	219.384293319	-198.14799171	32.8858256816	79.8861436166	301.104687669
Sample35	19.105411892	18.1183456644	14.3379687336	518.208648516	323.340126899	43.4518312922	-253.567773128	243.267430356	-190.346566227	-101.168523031
Sample36	17.6427465631	19.8011039956	17.4252490288	-23.1690266713	162.513765379	106.676437845	-68.8810059597	47.2934094194	247.889657006	89.2548176893
Sample37	17.9448247882	19.4337239743	16.7516103211	308.859634046	139.371999833	195.0590186	100.548697903	127.460420885	63.1555035113	29.8199057629
Sample38	20.219859143	19.7823826907	17.449605254	-89.6641112405	-170.662011518	53.488118545	105.147526674	-183.514546443	-322.616302614	-261.972075868
Sample39	21.4820266792	21.1115661324	20.0847288063	-151.46408788	146.214404234	230.654111325	-143.834913844	-101.115395201	-115.325157212	-60.6259818917
Sample40	18.3375683456	21.711644462	20.1865571504	-315.45373773	-181.240106008	31.3214083553	118.321298695	310.956800842	119.223266267	-6.14371577952
Sample41	21.8535113597	21.8124348712	19.0227546074	35.6538248563	150.551500514	290.232554286	-34.6876336172	-124.796010305	236.510348217	-85.1334786202
Sample42	21.5848796459	22.9127363274	17.6953661417	-163.119899908	-93.3230729818	72.1073513185	44.0246873126	-195.503249165	-47.6249976557	-239.027385113
Sample43	22.5304654744	21.5861080552	20.3986733983	24.7872906679	-161.220210146	-211.962132122	259.90865723	-188.615477651	-209.461114013	-0.893919553387
Sample44	22.5259471935	21.0258902903	21.3570493632	-157.040654415	62.6714781836	124.040163975	34.8998420286	-51.4793945464	-203.619815565	29.0537126746
Sample45	22.752124195	23.2865670716	22.1220371307	-28.7607834084	45.6795628372	107.316626995	-138.386706854	-140.298168868	-27.0640350674	-6.80159922364
Sample46	24.7151612884	23.1480378178	21.7681968663	217.006380888	-10.3163054749	-15.71315061	-31.7246814426	388.831256353	143.943037511	-79.5154887824
Sample47	26.1263902824	24.5641144199	22.0339548176	-279.650648334	-46.2462839234	-15.4222479767	-54.105362655	62.2375536429	-255.236416593	-20.27897313
Sample48	23.3343855679	23.4734380364	23.8764456934	-124.987560068	-131.011021818	97.9863420733	166.442341987	-450.156510686	57.317494722	-26.1866059739
Sample49	27.0777315259	26.3929209931	24.0396774308	-191.24868749	161.685582701	-87.180508011	-199.842566758	-97.2448498367	-94.5932836521	87.182651476
Sample50	25.7882770746	25.2339006507	22.9005959743	97.3514351913	-184.65401722	92.3902556816	144.898944238	-24.5318456895	-103.72662114	-29.0665909157
Sample51	27.5957229154	25.263843529	25.2868833575	177.829940297	186.710664946	220.413836883	147.73189283	102.603875866	-245.768272763	74.6400857968
Sample52	28.1675493789	27.0008482998	25.0962632357	37.4242321017	-30.3218716695	-273.094018238	-42.5679880271	209.929381205	197.399143363	-15.7365182023
Sample53	25.3717254016	27.8032071655	25.0648496058	43.0014739326	-175.557947607	-283.478095369	349.103817276	104.341751085	12.4085153725	45.1500207267
Sample54	28.7296682662	27.6307396811	26.8974054559	131.672032953	44.0689191241	-176.846907551	-94.5386252439	43.8801128181	-423.303421696	327.140083204
Sample55	27.8776154519	28.9390020913	27.0098300826	-105.653777096	-386.12063083	-105.199154506	-55.1323359225	234.896190801	-186.728312478	86.5803304069
Sample56	29.5061528183	30.0324454418	27.3507843923	-266.008779355	-322.621881617	139.746808309	-168.387773943	57.802171811	283.156365103	-121.814080582
Sample57	29.6470109915	29.229771298	28.5668605345	-170.793974355	-89.3908543772	39.114423559	110.306578403	-137.230584387	96.4387725462	263.616818865
Sample58	30.5209587393	30.8445851692	27.5406568151	208.497530578	-131.628460237	-394.592901742	-248.257061883	423.080250807	319.715829939	26.253505589
Sample59	33.008884854	31.4310232686	28.6378317414	65.26405788	111.838767144	138.410108521	27.3229446317	-47.6404206677	-23.831358064	173.102662208
Sample60	31.7384384131	31.3380912291	29.6675821176	-228.259083531	-320.5697655	-210.640390238	-61.7268561202	38.1729709115	-142.919590189	-70.2920851051
Sample61	30.8884635631	31.7009693432	29.0245601335	179.515046033	-359.294131491	-97.7146935996	-55.9878398307	-68.5242739915	108.085776328	-191.097315275
Sample62	30.9351190905	33.1570641223	29.5800814058	102.128710269	94.3105575312	215.191084811	-3.45885465171	126.578702106	215.862456783	54.6594089545
Sample63	31.9375218366	33.0241035051	30.4318133541	-18.4356764833	-61.6856333317	-68.1590613754	-384.345674941	159.854153212	-339.84881302	150.865581518
Sample64	32.5615867476	32.4870108415	29.1444376109	9.20511953512	200.078964175	-153.97314175	45.6211789129	-118.352607229	-176.596212753	-59.1901156332
Sample65	33.924341386	33.7677151562	30.6160649407	71.4054057083	124.140242046	140.581466919	54.0016525398	-379.961555616	205.570193324	-281.84804301
Sample66	31.5750764203	34.0606519157	31.6562026347	127.003376593	121.561844054	130.070261159	-114.956320192	-186.448590779	52.9543815377	80.5828202413
Sample67	33.6301207723	33.4978907155	32.3718594958	-80.9642828737	209.380475912	-306.337598875	111.303449613	-145.103085806	42.5579724758	-223.863654866
Sample68	35.1174163927	35.285893901	34.0450707289	-281.191519483	190.235169787	-204.828102407	-145.90539642	264.208350927	26.9532417351	-119.031937549
Sample69	33.9824897077	37.1271713161	33.1687227205	255.01039869	-27.7136263344	-57.2522119472	-145.812997579	-0.98335853887	-307.730129659	283.756968391
Sample70	32.7539319965	36.3572314037	33.4556333411	-101.67488336	-115.196022893	-120.647465795	126.596877834	332.522329121	-473.816836406	-162.651935375
Sample71	36.9346074014	36.9474667825	34.6023576463	-126.767325577	-178.536613448	-105.763218123	272.776749609	59.0446040581	200.3320777	-18.2671923414
