Sample	Gene0	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9
Sample0	-9.27343049465	0.372253006391	24.0975091389	12.5168327497	9.75397622474	-1.66293772164	9.02876745421	23.2516803891	1.27648208233	13.4266862141
Sample1	9.16678001551	17.645271306	11.0440978593	5.55116256207	3.39843617541	2.09264605829	-20.9054437871	-26.8689741747	7.66352014315	-17.5022555952
Sample2	-3.29576970712	-9.63453862953	-33.1850878977	-9.43452780516	5.82736820842	12.5655026892	-31.9653474223	-4.93692750036	7.09795276037	19.1364552483
Sample3	8.8617731872	15.106681353	3.92223181571	2.09101820856	3.2613934757	-14.2898274677	0.888423520094	-14.7379880812	-3.0941997369	33.4086438338
Sample4	-0.177218153016	-2.02199903358	-53.4976567697	-5.99488259854	-2.34022610525	5.09302196203	-21.2623327696	-7.71339771613	4.19810612567	48.2191804513
Sample5	15.5865375433	8.11558070332	23.2538553018	11.7893474987	10.5674611906	-2.47243227927	5.723342264	-61.3021261035	-9.59283627175	10.8570749156
Sample6	-4.16722678221	-5.23012352974	0.574323549687	-14.7291503984	1.68249470625	5.22075299677	1.15250060309	-3.32012292129	2.45182766264	-3.23096588225
Sample7	15.6698877742	-6.74967503501	-15.3642523326	-9.84118391761	8.36943126695	8.58787876096	-15.6537750496	-19.5922339978	8.37047928519	-23.4529087537
Sample8	-0.35472320564	-4.63349083419	-48.7009797491	-7.31368904266	15.9721632913	-5.09171285829	10.2069061169	-6.17469056695	0.0580829320242	-1.43924794237
Sample9	-9.15808958276	15.86761689	23.2280967438	-1.51678614536	2.4281337819	0.0805736901227	-10.217560119	11.5684009191	-15.0286844862	-17.3466802013
Sample10	6.25661230501	3.7744895633	-7.02431772832	-3.34594939143	-7.24814552053	-9.34118364443	-27.2536765468	-32.9035571291	6.29074335284	19.1516706101
Sample11	10.7700656407	-9.45252697896	-6.91311231665	-16.4444672134	10.6149677447	-3.9102113099	-23.4617215528	-24.7634733143	-4.25916262636	9.67417552588
Sample12	-1.33083966777	-10.0358945977	-24.2870285319	-7.20268389133	6.30332510194	-14.2158315831	29.7599438573	-16.8660991805	-6.79895013343	-36.6337300188
Sample13	-1.33344349374	-11.6362021444	-62.811846411	-3.39971612542	22.202358527	2.32822931339	-15.9698115117	-6.83317942184	7.68608794273	-3.21442625975
Sample14	7.93640205526	-6.53924371511	-10.6011567133	-9.45413451111	-7.43231090396	-4.36480916338	-34.3415072805	-12.0364101222	20.2197685436	2.81613450157
Sample15	7.80845316576	-3.24143330734	2.09458148059	-5.23111000225	5.14029036395	12.5295632267	-16.9463738503	-29.9724129623	17.0854271285	-26.4191099093
Sample16	-0.742038877739	-8.10295517517	-51.7440241257	-4.88553581728	22.2638284239	3.20363621193	-13.6764527452	-11.8014626547	3.05181186832	2.4013062137
Sample17	-3.24060586306	0.257942049668	-4.06691892545	-2.14486315086	5.5471417572	1.17983853018	-5.27391977032	0.0667733192155	9.06603464757	-3.91197168609
Sample18	12.0767235273	3.00831498658	27.6444495434	-9.32425252655	-3.67235111208	-26.0156896923	-22.3535954224	-27.0319238974	14.036797457	51.4228281122
Sample19	-32.0080028726	-14.2954430608	33.2503387914	1.31400063183	0.799210118951	-2.58522584455	39.3757353092	43.7978527972	22.2855969442	21.1291249883
Sample20	0.48560488495	-13.1701976356	-58.3888470258	-4.30658256193	-4.53125571408	4.2693681965	-20.2734152495	-34.6414141977	7.60987431498	35.0026536762
Sample21	7.13234369518	21.0942543313	-10.3901071104	16.6411394637	21.062826422	11.4721377995	11.6704610843	-10.1965743233	10.5623027409	-24.6756239271
Sample22	-13.9045844908	-11.3414295555	9.4414332965	-10.5840879548	3.27205112917	-5.428376517	7.13894661674	0.751303629417	-14.2412481507	13.0567367625
Sample23	-6.96756337281	-4.97765849806	-2.11019544665	-9.50442895642	-0.561730376694	-0.306106733818	-0.755377396183	-7.33586357886	3.86095498532	5.33493169686
Sample24	-2.54215428503	-14.0768960412	-56.3672363824	-5.87311707958	5.24514246816	-6.59071099784	18.2883231304	-0.664825814297	-1.31534066448	-13.3841637176
Sample25	-7.69632741973	-2.27296113882	1.61629916346	-1.68058064364	11.5655911301	-6.86670567707	-4.56800253161	-4.99155784546	-1.4432846248	0.451276313572
Sample26	2.61102556699	-1.78538595477	-2.88507954095	-7.08639629822	-3.76827839863	-12.7224923633	-2.21564573832	-2.1691913964	-2.62412238961	16.0105533819
Sample27	4.43539514777	-5.96505615524	-41.644484634	-2.20142507902	-3.63312881161	6.23948740649	-9.20475518967	-0.129468209117	15.8402066209	8.44261860706
Sample28	1.6329000898	-6.5757104351	-27.5053271595	-17.0195900849	17.2992508547	24.5728421796	-40.2201315815	-0.770817819008	14.1444460039	17.7020998845
Sample29	-3.74082877925	-1.19531905116	-15.8552505561	-6.28508911449	16.1506564605	2.68654658027	-10.1136414517	-10.7067832108	3.68784711365	8.06423762387
Sample30	-1.56971393888	13.3889798452	5.82886161994	11.1166966113	2.01980279246	13.5049174615	14.1225915211	6.71595932991	-10.573867793	-9.2474751221
Sample31	-5.17192539488	-3.25200543812	1.34462231515	-0.11413715906	3.73100407083	7.99496822477	33.4377491109	22.7259912678	18.7541070028	-23.6689307448
Sample32	-6.96612905578	6.25360012667	-1.70971727344	1.99974343252	-1.12950725935	-1.97643424844	-0.407405537246	21.6254194241	-2.21088451572	-0.601007742874
Sample33	16.5572567391	-10.7251644384	19.1918251569	-12.3561694387	0.405128836472	-5.17503168061	-22.5233238865	-34.6839975877	-10.5758082642	-13.0335765298
Sample34	1.26623441887	-11.7101200636	6.46571008341	-1.05354090457	-0.669772191823	3.29398537898	3.0807128401	-12.3569578692	-2.72376117926	4.8301127541
Sample35	-16.2888299665	-3.91517783362	4.26737613502	0.794463967626	-1.15282273626	1.34651631622	9.84356774891	4.40338761248	2.45483890004	-5.29088147758
Sample36	-0.106864654817	-3.26215672622	9.5409484177	3.26318303674	3.56386979108	7.02988581293	7.18881277601	-11.532593331	0.811277211086	0.567531765115
Sample37	-4.75961318858	-6.27424393328	-14.9547860087	-8.41324862153	6.80582044721	-2.47679042797	-3.80516176117	1.44124470134	-6.59927901704	-1.22865419293
Sample38	12.705594298	22.8531255117	-1.18138274952	-0.77156742259	-11.9975273373	-3.78039560837	6.3977385221	-17.8224791403	12.7346749716	5.57573646122
Sample39	-7.54519540883	-0.822932219716	1.68694828132	4.95061519568	5.16944372821	-7.30129846315	-4.60864866459	20.8673748708	23.3919512137	4.10941140779
Sample40	0.642673576451	4.09750936952	-8.69521061588	-1.34590469894	2.13516149408	7.15748959716	-8.71815958699	28.0228911994	-20.7403881029	-22.1412858975
Sample41	0.132587968862	-14.6815041843	-45.5341570244	-8.25093797887	5.13572217627	-1.9584011354	-3.96739872518	34.3912219818	4.6157567819	-54.5933958555
Sample42	1.6108333436	-5.96984177566	-27.2177633274	1.19600898901	8.83019741926	-5.97066730562	15.7239433564	-2.75809720629	4.54837187176	-19.8771396154
Sample43	-12.1655581521	-8.28413466308	10.5494710679	-6.88619875585	7.83854604138	-4.55209026891	-13.8900691426	-14.0987725502	8.83377742463	3.55160573575
Sample44	3.90960129996	8.64258284383	18.2769626979	14.8933280192	1.19735922236	3.98974840552	3.34338886234	-31.5466160936	-13.3263434805	-14.2336405815
Sample45	-0.631363235195	-6.89210063016	-38.7642693064	0.5833200549	23.5850383222	6.92310104645	-20.8489503899	8.26823425088	1.49793265844	10.4056498558
Sample46	3.43136577455	0.869405440337	12.2069398757	9.34322467865	3.27115647176	-20.1961791908	-6.10987641073	1.24917490092	9.84114007384	23.1272078855
Sample47	12.3923112605	-22.7611617536	-7.57300173788	3.62631861487	5.70582178188	8.60584770606	-9.52701979451	-9.98443139446	2.23410322938	-16.5294189671
Sample48	2.33304120616	-0.0476564309583	13.5658901881	3.52674209459	5.31266881096	0.457592535703	7.57216395467	-21.2187631002	3.48865266786	1.56221107058
Sample49	1.08543240597	0.182355015493	10.504836368	2.10236852327	-6.94047748975	-3.88413813454	10.6704054249	8.96287984496	-2.8350831493	5.01209044435
Sample50	-1.22518252296	0.52845652133	-14.5215726401	-3.64150207587	7.01823920643	0.695682796479	-5.20912651982	-7.04555674923	16.7755615814	-6.42928824127
Sample51	11.8913699591	0.851836743881	16.0512094846	-3.5218264476	-3.66658512018	15.3923587859	-0.609541492419	-8.86890051541	0.546655501009	-36.9120387953
Sample52	-3.61924159687	-2.28729331645	10.3916440516	-10.0687966744	12.1922317937	5.13980699278	-1.98893894872	0.744718230376	7.62756105457	-5.37938272545
Sample53	14.4817757409	-7.84864204862	-22.0157874621	-14.0192112999	0.382878811256	5.46039547454	-8.73784986398	-13.3898874514	4.77515957141	6.27272883476
Sample54	17.462429586	-1.94496149187	-5.64235879075	-8.85874145646	10.7431981712	-12.3733584173	-27.2153974945	-42.7680868736	9.88046444781	13.0302638798
Sample55	-0.844545795071	-9.15171932398	-47.2381674435	2.39212549307	-0.894935688148	-6.88689604411	16.0170375386	-6.62341327564	-0.558785246402	-23.0116292673
Sample56	-2.42840006835	10.81887362	-19.7496659955	2.49968127231	4.37965810122	-15.0340805937	-0.306226199384	-2.99000492979	13.3679233586	21.6677737432
Sample57	4.94311714985	-8.13730549054	-7.00307982694	12.6287069975	6.84682075182	22.7585748515	-3.09856868351	-6.12720307136	5.27222081443	-42.0520167646
Sample58	-3.85853151578	-4.7676356004	7.22763772828	-8.74316088126	-3.05179317271	-0.918742171428	22.1960290103	6.89737578258	5.74696834111	-2.44418898584
Sample59	-16.1001774681	5.76594824862	19.1686222835	-12.7397470428	19.5008195778	-20.1611976076	-13.9300000437	15.3649508244	8.94825654543	42.8288700227
Sample60	18.8895478563	17.7710103873	28.7313319778	5.63011885308	0.126144981002	4.68210759016	-0.249858821828	-38.8431501567	5.57936798073	-10.0084581703
Sample61	1.57324057995	-10.0616836159	-61.2326622954	-1.82220987896	3.40610282128	-9.80002250414	31.1579278677	-21.267236656	-5.57105781191	-34.8081468918
Sample62	-1.85463303744	-4.08440759661	28.9295609856	-18.0231811159	-9.03316699765	-7.84063703143	-21.3782730687	-36.399727194	-5.81784007155	10.2687618163
Sample63	-11.4528724533	-25.5283869525	12.5119592233	10.1092962363	-2.40035164935	8.83926368196	12.1866557133	53.100563596	-4.23922817193	-9.07852076939
Sample64	-8.1228279308	13.6376821269	-2.20506199257	-8.07612459327	7.75898161798	-5.11336190042	-0.665884075508	0.86841712879	1.98114555346	8.15205308982
Sample65	-6.81831921253	-11.1651753419	-15.4974143312	3.3504235749	7.66073513966	-11.0293827475	9.22688901464	12.7545717973	-5.14295226156	4.13949185181
Sample66	5.09810317422	9.26410339578	-6.02799610891	17.3545196878	2.33777006761	7.28417222996	-18.7269819346	-3.48667061328	-6.79660930497	-9.92273981637
Sample67	24.1020380049	-11.0249175638	17.1839291326	-5.93980443319	4.01150368877	-4.08337735849	2.17299609526	-32.9581846527	-13.4522132045	-2.8122481382
Sample68	-10.5552829854	-5.96768304647	0.401626306306	-8.75756363229	6.57718801538	10.7130404978	5.14084279045	-1.72581247537	-6.03287593736	-28.0744557936
Sample69	3.58715830724	-5.38291045699	-56.9733627253	-2.08288136402	-12.502820172	-4.09401444114	6.26522793043	-57.9430766714	-0.73857932141	-13.2213513531
Sample70	10.2531536551	-11.6011950594	1.66968675601	12.9916354819	2.7625053767	0.974477012315	23.0597130794	-21.9041478139	23.453640403	7.88562810645
Sample71	8.29965288867	12.6036714294	-7.44658845958	10.6765012202	-3.19415704663	-7.33128237118	-19.0046078101	-4.49124593048	16.729024178	14.7069413023
Sample72	-0.411401402587	-5.91168618376	-51.6127786659	0.262639465703	-3.30587453019	9.30185210927	-25.0570265273	-0.606261016999	11.6953227974	20.9519054237
Sample73	7.54201376842	-1.5307036231	-0.099105881915	1.7100481552	-5.58160565313	-1.27624244557	-15.5513775126	-8.80183989486	-4.6367344067	-16.1546134822
Sample74	-8.67451509475	6.25771817205	2.73346415855	-8.48952175237	11.8237336323	13.5648070557	2.44595568074	25.7747916057	-7.63709306123	-16.5480722155
Sample75	-9.43379808896	1.52948432571	-24.0008322916	-22.842780226	-7.89866521838	-0.68510924936	-12.9810114958	5.72946435017	-2.33452547586	10.762429324
